Code,Town_Japanese,Prefecture_Town_Japanese,Prefecture_English,Prefecture_Town_English,Town_English,SP,WP,BP,Redundancy,Diversity,PV_output_2018,Windspeed_2018,PercentForest_cover,PercentEmployment_EGHW_2009,Population_2010,Area_inhabitable_2010,Land_price_residential_2009,ku_LDP_voteshare_2012,Crime_Rate_2008,Income_taxable_per_capita_2010,Unemployment_2010,Financial_Str_Index_2010,PercentChange_CO2_industry_2000_03
01211,???,??? ???,Hokkaido,Hokkaido Abashiri-shi,Abashiri-shi,106,0,1,107,2,1201,7.22,34.28237792,0.134152886,40998,22027,20000,50.33081885,6.439338504,1201719.791,6.2,39,0.7
01212,???,??? ???,Hokkaido,Hokkaido Rumoi-shi,Rumoi-shi,1,8,0,9,2,1093,6.82,81.44936305,0.237150918,24457,5016,19600,,6.99186327,1119960.257,9.4,32,-11.97
01213,????,??? ????,Hokkaido,Hokkaido Tomakomai-shi,Tomakomai-shi,489,0,3,493,3,1207,6.51,58.45978485,0.478882991,173320,19346,23700,55.18807542,12.33556427,1173338.132,6.9,77,-75.75
01214,???,??? ???,Hokkaido,Hokkaido Wakkanai-shi,Wakkanai-shi,19,9,0,28,2,1083,7.97,55.64273417,0.25003157,39595,31347,14800,50.33081885,5.025887107,1189673.09,8.7,38,-8.17
01215,???,??? ???,Hokkaido,Hokkaido Bibai-shi,Bibai-shi,11,0,0,11,1,1148,6.11,44.33557869,0.226626719,26034,15656,10400,,7.759084274,874011.7539,7.7,25,3.92
01216,???,??? ???,Hokkaido,Hokkaido Ashibetsu-shi,Ashibetsu-shi,19,0,0,20,2,1166,5.95,83.41194423,0.174404619,16628,13800,8100,,5.171999038,795985.5064,7.3,26,-10.23
01217,???,??? ???,Hokkaido,Hokkaido Ebetsu-shi,Ebetsu-shi,36,0,3,39,2,1226,6.4,10.16687103,0.137404827,123722,16744,31200,48.62070663,10.95197297,1071386.479,7.6,53,-72.64
01218,???,??? ???,Hokkaido,Hokkaido Akabira-shi,Akabira-shi,7,0,0,7,1,1177,6.04,71.72004928,0.079132706,12637,3429,7000,,5.85582021,751734.7472,8.7,21,19.18
01219,???,??? ???,Hokkaido,Hokkaido Mombetsu-shi,Mombetsu-shi,97,0,0,97,1,1129,6.27,78.48922595,0.339393939,24750,17236,9200,50.33081885,6.262626263,1089660.162,6.1,31,-4.95
01220,???,??? ???,Hokkaido,Hokkaido Shibetsu-shi,Shibetsu-shi,9,0,0,9,1,1182,5.98,72.65141295,0.133106899,21787,29567,11100,42.94565956,4.865286639,960620.5535,4.6,27,28.39
01221,???,??? ???,Hokkaido,Hokkaido Nayoro-shi,Nayoro-shi,7,0,1,8,2,1186,5.7,62.32273976,0.395541172,30591,19625,9400,42.94565956,6.570559969,1107816.743,4.9,29,-84.85
01222,???,??? ???,Hokkaido,Hokkaido Mikasa-shi,Mikasa-shi,17,0,0,17,1,1191,6.54,81.6580756,0.244594462,10221,5428,5500,,9.588102925,803331.6701,11.8,20,-19.24
01223,???,??? ???,Hokkaido,Hokkaido Nemuro-shi,Nemuro-shi,79,5,0,84,2,1305,7.86,41.20354668,0.297935002,29201,20321,12800,47.23591082,4.999828773,1157252.697,5.3,31,-6.54
01224,???,??? ???,Hokkaido,Hokkaido Chitose-shi,Chitose-shi,268,0,0,268,1,1246,5.78,51.67997311,0.157044571,93604,19374,34100,48.62070663,14.35836075,1233814.313,6,78,-4.69
01225,???,??? ???,Hokkaido,Hokkaido Takikawa-shi,Takikawa-shi,48,0,0,48,1,1182,5.81,10.97392506,0.301135047,43170,10190,12600,,12.53185082,1022821.311,5.8,38,31.88
01226,???,??? ???,Hokkaido,Hokkaido Sunagawa-shi,Sunagawa-shi,5,0,0,7,2,1177,5.92,36.65014614,0.708438287,19056,4913,15500,,8.658690176,1008403.81,8.4,32,-22.92
01227,????,??? ????,Hokkaido,Hokkaido Utashinai-shi,Utashinai-shi,0,0,0,0,0,1162,6.29,74.81693159,0.113973102,4387,1409,3200,,2.507408252,740441.5318,11.4,12,318.81
01228,???,??? ???,Hokkaido,Hokkaido Fukagawa-shi,Fukagawa-shi,10,0,0,10,1,1151,5.79,59.07828354,0.253068455,23709,21661,10200,,7.718587878,928723.7336,5.2,25,-21.05
01229,????,??? ????,Hokkaido,Hokkaido Furano-shi,Furano-shi,7,0,0,7,1,1145,8.08,66.82197115,0.181375984,24259,19102,18500,42.94565956,6.595490333,1033254.256,4.4,33,-17.98
01230,???,??? ???,Hokkaido,Hokkaido Noboribetsu-shi,Noboribetsu-shi,71,0,0,71,1,1182,6.48,71.14704634,0.143616815,51526,3102,19400,55.18807542,9.179831541,1068415.188,8.6,47,51.53
01231,???,??? ???,Hokkaido,Hokkaido Eniwa-shi,Eniwa-shi,68,0,0,68,1,1246,5.87,60.89124021,0.495791537,69384,9711,25400,48.62070663,14.72962066,1148755.996,7.6,63,-49.1
01233,???,??? ???,Fukushima,Hokkaido Date-shi,Date-shi,207,7,0,214,2,1247,7.36,67.75006752,0.28667512,36278,11117,22800,55.18807542,7.993825459,1040153.84,5.8,39,6.17
01234,????,??? ????,Hokkaido,Hokkaido Kitahiroshima-shi,Kitahiroshima-shi,178,0,1,179,2,1251,6.04,36.94111692,0.071247494,60353,7241,25800,48.62070663,10.65398572,1151013.09,6.9,66,44.95
01235,???,??? ???,Hokkaido,Hokkaido Ishikari-shi,Ishikari-shi,139,18,5,162,3,1176,7.38,68.25007619,0.121112214,59449,22215,15900,48.62070663,13.50737607,1010392.134,9.8,55,95.53
01236,???,??? ???,Hokkaido,Hokkaido Hokuto-shi,Hokuto-shi,93,0,0,93,1,1113,6.54,74.39466398,0.024983344,48032,9726,29400,47.53154105,10.59710193,939450.179,8,46,-19.53
01303,???,??? ???,Hokkaido,Hokkaido Tobetsu-cho,Tobetsu-cho,75,0,0,75,1,1124,6.54,62.26017837,0.053287861,18766,16199,15100,48.62070663,12.94895023,977042.1507,7.5,36,-0.75
01304,????,??? ????,Hokkaido,Hokkaido Shinshinotsu-mura,Shinshinotsu-mura,6,0,0,6,1,1208,6.27,2.45398773,0,3515,7622,6700,48.62070663,5.974395448,1023072.262,2.2,18,11.29
01331,???,??? ???,Hokkaido,Hokkaido Matsumae-cho,Matsumae-cho,1,9,0,10,2,1076,8.52,81.46151747,0.08001829,8748,2779,14300,47.53154105,2.286236854,849340.6493,10,19,-10.51
01332,???,??? ???,Hokkaido,Hokkaido Fukushima-cho,Fukushima-cho,0,0,0,0,0,1092,8.44,90.29639519,0.391083301,5114,1389,11500,47.53154105,1.759874853,781905.3578,8.7,20,-36.39
01333,???,??? ???,Hokkaido,Hokkaido Shiriuchi-cho,Shiriuchi-cho,9,0,0,9,1,1074,7.13,82.06132099,1.734331888,5074,3740,6900,47.53154105,2.364998029,866177.5719,6.9,26,-20.59
01334,????,??? ????,Hokkaido,Hokkaido Kikonai-cho,Kikonai-cho,16,0,0,16,1,1115,6.68,87.76871423,0.411907882,5341,2576,15800,47.53154105,4.493540535,838253.1361,10.2,20,-41.03
01337,???,??? ???,Hokkaido,Hokkaido Nanae-cho,Nanae-cho,72,0,0,72,1,1095,8.08,57.83204838,0.270526649,28463,8083,20700,47.53154105,6.218599585,941518.7436,7,44,58.72
01343,???,??? ???,Hokkaido,Hokkaido Shikabe-cho,Shikabe-cho,13,0,0,13,1,1164,7.34,67.92333424,0.062932662,4767,2158,7900,47.53154105,5.663939585,836668.3449,9.8,26,-9.1
01345,??,??? ??,Shizuoka,Hokkaido Mori-machi,Mori-machi,105,0,0,108,2,1146,7.2,73.87514595,0.055994177,17859,6646,11700,47.53154105,7.503219665,858863.0382,8.8,28,-12.59
01346,???,??? ???,Hokkaido,Hokkaido Yakumo-cho,Yakumo-cho,46,0,3,49,2,1089,6.69,79.89288479,0.312235394,18896,13945,17900,47.53154105,8.573243014,1060589.119,6.2,27,3.95
01347,????,??? ????,Hokkaido,Hokkaido Oshamambe-cho,Oshamambe-cho,2102,0,0,2102,1,1081,6.2,74.38231888,0.281866583,6386,6651,9800,47.53154105,4.384591293,880488.8819,6.4,21,-32.07
01361,???,??? ???,Hokkaido,Hokkaido Esashi-cho,Esashi-cho,139,3,0,142,2,1043,7.78,73.32785838,0.410928476,9004,2714,17700,47.53154105,4.997778765,1054747.89,9.5,26,-25.37
01362,????,??? ????,Hokkaido,Hokkaido Kaminokuni-cho,Kaminokuni-cho,1,4,0,5,2,1009,8.1,90.54419284,0.055268976,5428,4419,8800,47.53154105,4.237288136,854163.4119,7.5,14,-30.88
01363,????,??? ????,Hokkaido,Hokkaido Assabu-cho,Assabu-cho,8,0,0,8,1,1086,7.37,80.60249338,0.09072352,4409,8290,10100,47.53154105,7.257881606,1005725.108,5.5,17,-44.77
01364,???,??? ???,Hokkaido,Hokkaido Otobe-cho,Otobe-cho,2,1,0,3,2,1051,7.31,83.6183563,0.045372051,4408,2520,11400,47.53154105,4.764065336,799366.3793,9.8,15,-21.56
01367,???,??? ???,Hokkaido,Hokkaido Okushiri-cho,Okushiri-cho,0,0,0,0,0,1051,8.56,76.31137222,0.395647873,3033,1964,7700,47.53154105,2.96735905,1151594.131,4.9,14,-32.03
01370,???,??? ???,Hokkaido,Hokkaido Imakane-cho,Imakane-cho,0,0,0,0,0,1072,7.07,80.1562995,0.09699321,6186,12107,14200,47.53154105,2.586485613,868107.9858,7.7,19,-27.18
01371,????,??? ????,Hokkaido,Hokkaido Setana-cho,Setana-cho,5,2,0,7,2,1023,7.7,76.81901451,0.125130344,9590,13692,9400,47.53154105,5.109489051,802781.5433,5.4,15,-36.82
01391,???,??? ???,Hokkaido,Hokkaido Shimamaki-mura,Shimamaki-mura,0,1,0,1,1,986,9.13,82.1364863,0.112296463,1781,4396,4500,44.22489192,5.05334082,780366.0865,4.1,10,-29.61
01392,???,??? ???,Hokkaido,Hokkaido Suttsu-cho,Suttsu-cho,0,8,0,8,1,930,7.92,75.69466289,0.232355504,3443,872,7400,44.22489192,5.808887598,932589.8925,5.6,15,4.21
01393,????,??? ????,Hokkaido,Hokkaido Kuromatsunai-cho,Kuromatsunai-cho,0,2,0,2,1,1092,6.97,76.19185457,0,3250,3935,4700,44.22489192,7.076923077,883780.9231,4.3,14,-0.91
01394,???,??? ???,Hokkaido,Hokkaido Rankoshi-cho,Rankoshi-cho,1,0,0,1,1,1087,6.77,78.50471446,0.07558579,5292,7302,7800,44.22489192,5.102040816,835983.5601,4.5,17,-31.93
01395,????,??? ????,Hokkaido,Hokkaido Niseko-cho,Niseko-cho,0,0,0,2,1,1131,6.26,67.08770862,0.082935932,4823,5264,10600,44.22489192,7.049554219,927654.5718,9.6,25,-28.16
01396,???,??? ???,Hokkaido,Hokkaido Makkari-mura,Makkari-mura,1,0,0,1,1,1171,6.66,58.25395438,0.228414801,2189,3627,5600,44.22489192,3.197807218,1107042.485,1.9,14,63.93
01397,????,??? ????,Hokkaido,Hokkaido Rusutsu-mura,Rusutsu-mura,0,0,0,0,0,1151,7.25,58.48065377,0.049164208,2034,3788,5400,44.22489192,7.374631268,1037158.309,1.9,25,-12.06
01398,????,??? ????,Hokkaido,Hokkaido Kimobetsu-cho,Kimobetsu-cho,0,0,0,0,0,1208,6.84,75.784919,0.080321285,2490,3195,7800,44.22489192,12.85140562,834012.8514,3.9,21,-47.52
01399,???,??? ???,Hokkaido,Hokkaido Kyogoku-cho,Kyogoku-cho,0,0,0,2,2,1124,7.27,74.89313933,0.865914458,3811,3268,8300,44.22489192,4.19837313,929865.1273,2.5,19,-41.33
01400,????,??? ????,Hokkaido,Hokkaido Kutchan-cho,Kutchan-cho,0,0,0,0,0,1096,6.91,61.54111162,0.745118191,15568,6875,20400,44.22489192,8.414696814,1178506.809,6.9,44,-3.69
01401,???,??? ???,Hokkaido,Hokkaido Kyowa-cho,Kyowa-cho,3,0,0,3,1,1082,7.12,65.61844176,0.280024891,6428,8776,9400,44.22489192,7.467330429,1159717.33,5.2,31,-49.63
01402,???,??? ???,Hokkaido,Hokkaido Iwanai-cho,Iwanai-cho,5,0,0,5,1,953,7.72,69.75789325,0.214518026,14451,1364,12400,44.22489192,6.227942703,966879.1779,6.7,29,12.09
01403,??,??? ??,Hokkaido,Hokkaido Tomari-mura,Tomari-mura,0,0,0,3,1,1007,7.74,86.84881603,22.72968667,1883,492,4700,44.22489192,11.6834838,1117890.6,3.7,147,57.18
01404,????,??? ????,Hokkaido,Hokkaido Kamoenai-mura,Kamoenai-mura,0,0,0,0,0,956,8.2,88.98517365,0,1122,849,4100,44.22489192,9.803921569,1003338.681,3.7,11,-37.44
01405,???,??? ???,Hokkaido,Hokkaido Shakotan-cho,Shakotan-cho,1,0,0,1,1,927,9.31,68.5487595,0,2516,5062,7400,44.22489192,10.73131955,663172.0986,5.8,11,-11.31
01406,???,??? ???,Hokkaido,Hokkaido Furubira-cho,Furubira-cho,1,0,0,1,1,983,7.06,83.2386816,0.110772639,3611,2447,9100,44.22489192,5.538631958,720144.5583,5.5,15,-17.77
01407,???,??? ???,Hokkaido,Hokkaido Niki-cho,Niki-cho,1,0,0,1,1,1038,7.25,73.67950932,0.052631579,3800,3928,8000,44.22489192,7.105263158,717592.1053,2.9,15,15.98
01408,???,??? ???,Hokkaido,Hokkaido Yoichi-cho,Yoichi-cho,21,0,0,21,1,1064,6.66,64.51635846,0.277542572,21258,3891,15300,44.22489192,8.84372942,876296.6413,9.7,34,-4.02
01409,????,??? ????,Hokkaido,Hokkaido Akaigawa-mura,Akaigawa-mura,1,0,0,1,1,1088,7.47,84.51322695,0.633914422,1262,2426,3400,44.22489192,17.43264659,868427.0998,2.6,25,8.71
01423,???,??? ???,Hokkaido,Hokkaido Nanporo-cho,Nanporo-cho,45,0,0,45,1,1258,6.23,1.730273653,0.045568467,8778,7984,9000,,10.59466849,1034715.767,5.7,25,-4.18
01424,????,??? ????,Hokkaido,Hokkaido Naie-cho,Naie-cho,7,0,0,9,2,1162,5.99,54.95741056,1.404585082,6194,3974,9400,,9.202453988,894851.1463,5.9,23,1.11
01425,????,??? ????,Hokkaido,Hokkaido Kamisunagawa-cho,Kamisunagawa-cho,0,0,0,0,0,1133,6.5,86.54472563,0.048947626,4086,526,3000,,4.160548213,579190.8957,22.7,12,90.13
01427,???,??? ???,Hokkaido,Hokkaido Yuni-cho,Yuni-cho,20,0,0,20,1,1239,6.08,36.41117586,0.084803256,5896,8432,7300,,11.8724559,824756.7843,4.6,20,3.53
01428,???,??? ???,Hokkaido,Hokkaido Naganuma-cho,Naganuma-cho,49,0,0,49,1,1251,6.06,10.90520314,0.128303823,11691,14903,13200,,11.88948764,1131662.304,4.3,25,6.39
01429,???,??? ???,Hokkaido,Hokkaido Kuriyama-cho,Kuriyama-cho,23,0,0,24,2,1199,6.18,51.83967818,0.23988006,13340,9720,12300,,8.545727136,911880.5097,5.2,29,10.51
01430,???,??? ???,Hokkaido,Hokkaido Tsukigata-cho,Tsukigata-cho,5,0,0,5,1,1115,5.83,58.50380669,0.082321465,4859,6142,7600,,6.174109899,707321.6711,4,17,-37.48
01431,???,??? ???,Hokkaido,Hokkaido Urausu-cho,Urausu-cho,5,0,0,5,1,1138,6.39,48.57538583,0,2206,5142,3300,,11.33272892,953239.3472,3.6,18,-60.22
01432,?????,??? ?????,Hokkaido,Hokkaido Shintotsukawa-cho,Shintotsukawa-cho,9,0,0,9,1,1166,5.86,77.58968565,0.096565043,7249,11139,10000,,6.345702856,937744.3785,3.5,19,98.59
01433,????,??? ????,Hokkaido,Hokkaido Moseushi-cho,Moseushi-cho,1,0,0,1,1,1180,5.55,0.020597322,0.11554015,3462,4854,7800,,9.243212016,909816.58,7.2,16,18.4
01434,????,??? ????,Hokkaido,Hokkaido Chippubetsu-cho,Chippubetsu-cho,2,0,0,2,1,1170,5.49,5.818874312,0.036630037,2730,4423,6000,,8.058608059,881024.9084,5.3,15,-39.51
01436,???,??? ???,Hokkaido,Hokkaido Uryu-cho,Uryu-cho,0,0,0,2,1,1160,5.67,63.51160233,0,3049,6972,3700,,5.903574943,890957.0351,3.4,15,-100
01437,???,??? ???,Hokkaido,Hokkaido Hokuryu-cho,Hokuryu-cho,0,0,0,0,0,1149,5.45,65.61516182,0.09119927,2193,5666,3400,,9.119927041,790955.7684,3.7,13,-52.18
01438,???,??? ???,Hokkaido,Hokkaido Numata-cho,Numata-cho,0,0,0,0,0,1146,5.53,72.16906183,0.332225914,3612,8390,8300,,9.966777409,986675.8029,4.1,15,7.79
01452,???,??? ???,Hokkaido,Hokkaido Takasu-cho,Takasu-cho,2,0,0,2,1,1085,5.24,44.97991968,0.027229408,7345,7669,12500,42.94565956,4.901293397,991177.9442,5.7,29,33.48
01453,????,??? ????,Hokkaido,Hokkaido Higashikagura-cho,Higashikagura-cho,5,0,0,5,1,1188,5.18,21.21212121,0.161429186,9292,5394,17800,42.94565956,6.780025829,1105616.337,3.9,36,-42
01454,???,??? ???,Hokkaido,Hokkaido Tohma-cho,Tohma-cho,20,0,0,21,2,1167,5.43,65.45498902,0.070551714,7087,7047,9500,42.94565956,4.233102864,846420.9115,5.6,21,68.04
01455,???,??? ???,Hokkaido,Hokkaido Pippu-cho,Pippu-cho,4,0,0,4,1,1096,5.42,50.85347692,0.049480455,4042,4207,8000,42.94565956,3.463631865,812151.6576,4.5,17,-54.54
01456,???,??? ???,Hokkaido,Hokkaido Aibetsu-cho,Aibetsu-cho,0,0,0,0,0,1167,6.12,81.72680309,0.210336538,3328,4358,6000,42.94565956,3.605769231,889005.7091,4.1,14,106.6
01457,???,??? ???,Hokkaido,Hokkaido Kamikawa-cho,Kamikawa-cho,15,0,0,19,2,918,6.99,84.95768366,0.507502207,4532,15398,4100,42.94565956,4.854368932,809663.2833,6.2,20,-34.24
01458,???,??? ???,Hokkaido,Hokkaido Higashikawa-cho,Higashikawa-cho,21,0,0,21,1,975,5.27,69.93847648,0.012724265,7859,7363,14000,42.94565956,4.707978114,925457.5646,4.8,32,6.35
01459,???,??? ???,Hokkaido,Hokkaido Biei-cho,Biei-cho,4,0,0,4,1,1136,5.38,53.4762833,0.109529025,10956,30895,13500,42.94565956,6.024096386,928462.4863,5.1,21,-18.46
01460,?????,??? ?????,Hokkaido,Hokkaido Kamifurano-cho,Kamifurano-cho,14,0,0,14,1,1198,5.51,47.19622228,0.112602858,11545,11641,12700,42.94565956,4.157644002,1077090.256,4.4,28,5.36
01461,?????,??? ?????,Hokkaido,Hokkaido Nakafurano-cho,Nakafurano-cho,7,0,0,7,1,1149,6.19,38.83164673,0.146065364,5477,6655,8600,42.94565956,3.834215812,1017094.395,2.5,20,-28.01
01462,?????,??? ?????,Hokkaido,Hokkaido Minamifurano-cho,Minamifurano-cho,1,0,0,1,1,1173,8.11,84.28446929,0.106609808,2814,10264,2600,42.94565956,3.198294243,943862.118,2.5,13,-48.57
01463,???,??? ???,Hokkaido,Hokkaido Shimukappu-mura,Shimukappu-mura,0,0,0,0,0,1150,6.64,91.30594598,0,1394,4522,3600,42.94565956,10.76040172,1009880.918,4.1,28,-66.26
01464,???,??? ???,Hokkaido,Hokkaido Wassamu-cho,Wassamu-cho,2,0,0,2,1,1151,6.17,63.40346039,0.052192067,3832,7815,5400,42.94565956,5.741127349,805004.9582,3.8,16,-38.72
01465,???,??? ???,Hokkaido,Hokkaido Kembuchi-cho,Kembuchi-cho,3,0,0,3,1,1164,6.02,28.89481707,0.364656381,3565,8946,3700,42.94565956,5.329593268,837355.9607,2.3,15,25.24
01468,???,??? ???,Hokkaido,Hokkaido Shimokawa-cho,Shimokawa-cho,1,0,1,2,2,1154,7.21,85.9717479,0.132450331,3775,7864,2900,42.94565956,3.708609272,903820.3974,3.9,14,18.37
01469,???,??? ???,Hokkaido,Hokkaido Bifuka-cho,Bifuka-cho,0,0,0,0,0,1161,5.76,85.84967418,0.173812283,5178,9048,5100,42.94565956,0.965623793,914164.9285,4.5,15,-37.43
01470,?????,??? ?????,Hokkaido,Hokkaido Otoineppu-mura,Otoineppu-mura,0,0,0,0,0,1105,7.62,85.98897112,0.201005025,995,3676,1700,42.94565956,0,991748.7437,2.4,11,9.66
01471,???,??? ???,Hokkaido,Hokkaido Nakagawa-cho,Nakagawa-cho,0,0,0,0,0,1113,7.1,85.43883538,0.157315155,1907,8346,2900,42.94565956,2.621919245,1014926.586,3.7,12,-59.21
01472,????,??? ????,Hokkaido,Hokkaido Horokanai-cho,Horokanai-cho,0,0,0,0,0,1126,7,81.09070049,0.116959064,1710,14743,,,7.01754386,1074040.351,1.6,10,#N/A
01481,???,??? ???,Hokkaido,Hokkaido Mashike-cho,Mashike-cho,0,0,0,0,0,1056,7.45,86.47208396,0.315084679,5078,4600,9900,,5.907837731,883165.6164,8.2,14,-18.03
01482,???,??? ???,Hokkaido,Hokkaido Obira-cho,Obira-cho,0,1,0,1,1,1112,6.67,87.31568124,0.08071025,3717,6870,7400,,5.649717514,921592.9513,5.4,13,-20.81
01483,???,??? ???,Hokkaido,Hokkaido Tomamae-cho,Tomamae-cho,1,1,0,2,2,1083,7.06,79.91991728,0.054704595,3656,8722,5100,,4.376367615,881873.6324,4.7,14,36.62
01484,???,??? ???,Hokkaido,Hokkaido Haboro-cho,Haboro-cho,3,0,0,3,1,1091,6.97,82.37148964,0.301356102,7964,8950,9600,,4.64590658,975250.1256,4.4,19,-11.4
01485,????,??? ????,Hokkaido,Hokkaido Shosambetsu-mura,Shosambetsu-mura,0,0,0,0,0,1065,7.24,81.4490787,0.146092038,1369,5097,2600,,4.38276114,1086013.148,2.4,10,-49.39
01486,???,??? ???,Hokkaido,Hokkaido Embetsu-cho,Embetsu-cho,1,0,0,1,1,1088,7.53,82.56439766,0.097276265,3084,9437,8400,,3.566796368,937867.7043,3,13,92.96
01487,???,??? ???,Hokkaido,Hokkaido Teshio-cho,Teshio-cho,0,0,0,0,0,1111,7.51,52.34779655,0.37037037,3780,15930,7400,,4.497354497,1119204.497,7.8,15,-50.31
01511,???,??? ???,Hokkaido,Hokkaido Sarufutsu-mura,Sarufutsu-mura,0,0,0,0,0,1128,7.23,74.4,0.353982301,2825,11805,3000,50.33081885,2.477876106,1686137.345,1.5,18,-14.83
01512,????,??? ????,Hokkaido,Hokkaido Hamatombetsu-cho,Hamatombetsu-cho,8,0,0,8,1,1109,7.31,63.85098117,0.599808061,4168,8509,6400,50.33081885,6.717850288,1173580.374,4.5,17,-33.27
01513,????,??? ????,Hokkaido,Hokkaido Nakatombetsu-cho,Nakatombetsu-cho,0,0,0,0,0,1122,7.17,82.52415004,0.253292806,1974,6784,3800,50.33081885,3.546099291,978874.3668,2.7,10,-41.7
01514,???,??? ???,Hokkaido,Hokkaido Esashi-cho,Esashi-cho,1,1,0,2,2,1150,6.87,78.8398107,0.164383562,9125,21034,7100,50.33081885,4.054794521,1173643.068,2.5,18,-24.83
01516,???,??? ???,Hokkaido,Hokkaido Toyotomi-cho,Toyotomi-cho,6,0,0,6,1,1102,6.66,47.35821154,0.182731841,4378,22230,8200,50.33081885,4.111466423,1102205.573,3.4,17,-8.88
01517,???,??? ???,Hokkaido,Hokkaido Rebun-cho,Rebun-cho,0,0,0,0,0,1015,8.32,51.13734169,0.129954516,3078,1497,4000,50.33081885,0.64977258,1125151.072,2.9,13,-15.64
01518,???,??? ???,Hokkaido,Hokkaido Rishiri-cho,Rishiri-cho,0,0,0,0,0,961,7.92,60.23009544,0.463320463,2590,2468,4300,50.33081885,0.386100386,1156407.722,2.4,10,-45.45
01519,?????,??? ?????,Hokkaido,Hokkaido Rishirifuji-cho,Rishirifuji-cho,0,0,0,0,0,887,8.38,58.99328224,0.131708923,3037,3582,6200,50.33081885,3.62199539,956089.2328,4.7,12,-18.47
01520,???,??? ???,Hokkaido,Hokkaido Horonobe-cho,Horonobe-cho,1,0,0,1,1,1114,6.81,67.85832448,0.821815465,2677,13922,,,7.097497198,1344457.602,1.7,21,#N/A
01543,???,??? ???,Hokkaido,Hokkaido Bihoro-cho,Bihoro-cho,71,0,0,71,1,1281,5.84,61.47230587,0.305909618,21575,16668,15900,50.33081885,3.939745075,1093586.188,4,35,-19.65
01544,???,??? ???,Hokkaido,Hokkaido Tsubetsu-cho,Tsubetsu-cho,20,0,0,20,1,1271,6.1,85.02930505,0.106269926,5646,10373,7200,50.33081885,3.542330854,1012713.603,5.9,18,-9.1
01545,???,??? ???,Hokkaido,Hokkaido Shari-cho,Shari-cho,69,0,0,69,1,962,7.1,57.77397864,0.214641625,13045,30510,11700,50.33081885,5.366040629,1430078.114,4.1,36,-12.6
01546,???,??? ???,Hokkaido,Hokkaido Kiyosato-cho,Kiyosato-cho,14,0,0,14,1,1159,6.65,67.22121521,0.043946385,4551,12906,4800,50.33081885,3.955174687,1220665.348,5.1,18,16.92
01547,????,??? ????,Hokkaido,Hokkaido Koshimizu-cho,Koshimizu-cho,35,0,0,35,1,1187,6.63,47.81911929,0.037327361,5358,14389,7800,50.33081885,3.172825681,1182118.328,2.3,20,21.41
01549,????,??? ????,Hokkaido,Hokkaido Kunneppu-cho,Kunneppu-cho,10,0,0,10,1,1328,6.08,49.10157682,0.18399264,5435,8400,9200,50.33081885,3.863845446,1144712.236,3.8,22,-0.07
