Q23_1,Extra,emotstab,Open,consc,Agree,Age,ideo,dideo,educ,race,income,gender,partyid,PartyID,infpp,polcar,businessC,socialC,CivicDuty,Candidate,lovePols,issue,supprty,servePub
I am open to the possibility of holding elective office in the future.,1.200000047683716,2.25,1.142857074737549,2,1,62,Moderate,Moderate,Some College,Multi-Racial,4,Male,Independent,Independent,9,0,0,5,6,0,0,9,0,9
I have absolutely no interest in holding elective office at any time in the future.,1.200000047683716,3,1.428571462631226,2.799999952316284,2.799999952316284,74,Conservative,Conservative,Some College,White,3,Male,Lean-Democrat,Independent,1,1,1,1,3,1,1,4,1,1
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,2.5,1.142857074737549,2.799999952316284,2.599999904632568,72,Moderate,Moderate,Some College,White,2,Female,Independent,Independent,1,1,1,1,5,5,5,5,5,5
I have absolutely no interest in holding elective office at any time in the future.,2,1.75,1.571428537368774,2,3,52,Moderate,Moderate,Some College,Black,2,Female,Strong Democrat,Democrat,8,2,8,5,7,9,4,10,10,7
I have absolutely no interest in holding elective office at any time in the future.,2,1.5,2.714285850524902,2.200000047683716,2.799999952316284,70,Very Liberal,Liberal,Less than High School,Black,1,Male,Strong Democrat,Democrat,1,0,4,1,6,8,0,4,10,0
I have absolutely no interest in holding elective office at any time in the future.,2,2.25,2.142857074737549,2,1.799999952316284,71,Somewhat Liberal,Liberal,Some College,White,2,Female,Lean-Democrat,Independent,5,1,1,1,5,5,2,5,6,5
I have absolutely no interest in holding elective office at any time in the future.,2.799999952316284,2.5,2.428571462631226,2.799999952316284,3,52,Very Conservative,Conservative,High School,Hispanic,2,Male,Independent,Independent,5,0,0,0,5,1,0,5,5,0
I have absolutely no interest in holding elective office at any time in the future.,2.599999904632568,2,3,2.799999952316284,3,50,Conservative,Conservative,Bachelors Degree,Black,5,Female,Strong Democrat,Democrat,3,4,1,3,2,7,2,2,3,5
I have absolutely no interest in holding elective office at any time in the future.,1.200000047683716,3,1.428571462631226,2.799999952316284,2.799999952316284,72,Very Conservative,Conservative,Bachelors Degree,White,1,Male,Strong Republican,Republican,1,1,1,1,1,1,1,1,1,1
I have absolutely no interest in holding elective office at any time in the future.,2.400000095367432,2.75,1.857142925262451,3,2.400000095367432,62,Very Conservative,Conservative,Bachelors Degree,White,6,Male,Independent,Independent,7,2,5,5,8,5,3,8,3,4
I am open to the possibility of holding elective office in the future.,2.400000095367432,2.25,2.714285850524902,2.599999904632568,2.200000047683716,66,Somewhat Liberal,Liberal,Graduate Degree,White,9,Male,Lean-Democrat,Independent,6,2,3,4,9,6,3,5,4,9
,,,,,,,,,,,,,,,,,,,,,,,,
I have absolutely no interest in holding elective office at any time in the future.,2.799999952316284,2.5,2.857142925262451,3,2.799999952316284,43,Conservative,Conservative,High School,White,2,Male,Independent,Independent,6,2,5,3,6,8,3,8,10,4
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,2.25,2.428571462631226,2.799999952316284,1,84,Very Conservative,Conservative,Graduate Degree,White,6,Female,Strong Republican,Republican,2,2,2,3,6,9,9,4,8,1
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,1.5,1.571428537368774,2.599999904632568,2.799999952316284,73,Liberal,Liberal,Some College,White,2,Female,Strong Democrat,Democrat,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,1.799999952316284,2,1.857142925262451,2.599999904632568,1.799999952316284,52,Moderate,Moderate,High School,Black,2,Male,Independent,Independent,10,8,10,9,8,8,10,10,10,8
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,1.5,2.571428537368774,1.799999952316284,1.599999904632568,60,Moderate,Moderate,Bachelors Degree,White,2,Male,Lean-Democrat,Independent,7,6,9,9,7,8,6,7,7,9
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,2.75,2.142857074737549,2,3,83,Somewhat Conservative,Conservative,High School,White,2,Male,Democrat,Democrat,7,0,0,0,7,6,0,0,5,0
I have absolutely no interest in holding elective office at any time in the future.,2.599999904632568,2.5,2.428571462631226,2.799999952316284,3,71,Moderate,Moderate,Some College,White,6,Female,Independent,Independent,0,0,0,0,0,0,0,0,6,0
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,2.25,2.285714149475098,3,2.200000047683716,76,Somewhat Liberal,Liberal,Graduate Degree,White,3,Male,Strong Democrat,Democrat,4,0,1,7,5,5,1,4,1,5
I have absolutely no interest in holding elective office at any time in the future.,3,2.75,2.714285850524902,2.400000095367432,2.599999904632568,77,Conservative,Conservative,Graduate Degree,White,4,Female,Strong Republican,Republican,3,1,6,7,1,5,1,1,7,7
I have absolutely no interest in holding elective office at any time in the future.,2,2.5,1.857142925262451,2.799999952316284,1.400000095367432,73,Conservative,Conservative,Some College,White,2,Female,Lean Republican,Independent,8,10,4,7,6,8,7,8,9,8
,,,,,,,,,,,,,,,,,,,,,,,,
I have absolutely no interest in holding elective office at any time in the future.,2,2.5,2,2.200000047683716,1.799999952316284,35,Very Liberal,Liberal,Less than High School,White,1,Male,Lean Republican,Independent,10,10,10,10,10,10,10,10,10,10
I have absolutely no interest in holding elective office at any time in the future.,2.799999952316284,2.25,2.285714149475098,2.799999952316284,3,69,Moderate,Moderate,Some College,White,5,Female,Democrat,Democrat,0,0,0,1,6,7,3,9,0,0
I have absolutely no interest in holding elective office at any time in the future.,1.200000047683716,1.5,1.571428537368774,1.599999904632568,2.599999904632568,69,Moderate,Moderate,Some College,White,3,Female,Republican,Republican,5,1,2,5,4,4,3,5,4,1
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,2.25,2.285714149475098,2.599999904632568,2.200000047683716,48,Moderate,Moderate,Some College,White,2,Female,Independent,Independent,2,0,3,1,5,0,1,4,1,2
I have absolutely no interest in holding elective office at any time in the future.,1.200000047683716,2.25,.8571429252624512,3,3,66,Very Conservative,Conservative,Graduate Degree,White,3,Female,Strong Republican,Republican,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,2.75,2.714285850524902,3,2.599999904632568,85,Liberal,Liberal,Graduate Degree,White,2,Male,Strong Democrat,Democrat,1,1,1,1,1,1,1,1,1,1
I am open to the possibility of holding elective office in the future.,2,1.5,1.714285612106323,2.799999952316284,1.400000095367432,52,Somewhat Conservative,Conservative,Some College,White,2,Male,Republican,Republican,6,6,7,6,7,6,6,7,7,5
I have absolutely no interest in holding elective office at any time in the future.,2,2.5,2,3,2.200000047683716,74,Moderate,Moderate,Some College,White,3,Male,Independent,Independent,3,2,3,3,3,3,3,3,3,3
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,2.5,2.142857074737549,2.400000095367432,1.400000095367432,85,Liberal,Liberal,Bachelors Degree,White,1,Female,Lean-Democrat,Independent,10,10,5,9,0,7,3,10,8,8
I have absolutely no interest in holding elective office at any time in the future.,1.200000047683716,1.75,1,1.799999952316284,2.200000047683716,71,Liberal,Liberal,High School,Hispanic,1,Female,Strong Democrat,Democrat,1,1,1,1,7,9,1,6,4,3
I am open to the possibility of holding elective office in the future.,2.200000047683716,1.75,2.428571462631226,2.599999904632568,3,61,Moderate,Moderate,Some College,White,2,Male,Strong Democrat,Democrat,10,5,1,6,6,6,1,10,5,10
I have absolutely no interest in holding elective office at any time in the future.,1.799999952316284,2.5,1.714285612106323,2,2.400000095367432,58,Somewhat Liberal,Liberal,Some College,White,1,Male,Democrat,Democrat,4,3,3,3,3,3,3,3,4,3
I have absolutely no interest in holding elective office at any time in the future.,2,2.5,2.714285850524902,2.599999904632568,2.400000095367432,60,Very Conservative,Conservative,Some College,Multi-Racial,1,Male,Independent,Independent,0,0,0,0,10,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,2.599999904632568,2.5,2.285714149475098,3,3,68,Conservative,Conservative,Some College,White,3,Female,Strong Republican,Republican,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,2.599999904632568,1.25,2.428571462631226,3,1.799999952316284,76,Liberal,Liberal,Bachelors Degree,White,3,Male,Strong Democrat,Democrat,7,1,1,3,4,8,1,4,3,2
I have absolutely no interest in holding elective office at any time in the future.,2.400000095367432,1.25,1.285714387893677,2.200000047683716,2,54,Conservative,Conservative,Some College,White,3,Male,Independent,Independent,8,4,4,4,6,6,3,5,5,6
I have absolutely no interest in holding elective office at any time in the future.,0,2,.2857143878936768,1.400000095367432,.5999999046325684,55,Liberal,Liberal,High School,White,1,Male,Democrat,Democrat,5,2,2,5,2,5,5,1,5,5
I have absolutely no interest in holding elective office at any time in the future.,0,1,1.142857074737549,2.400000095367432,2.200000047683716,60,Moderate,Moderate,High School,White,1,Female,Independent,Independent,10,10,10,10,5,5,5,10,8,10
I have absolutely no interest in holding elective office at any time in the future.,2,3,2.142857074737549,2.599999904632568,3,33,Moderate,Moderate,Some College,White,1,Male,Independent,Independent,5,5,5,5,5,5,5,5,5,5
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,1.25,1,2.400000095367432,2.799999952316284,74,Moderate,Moderate,Some College,White,1,Female,Democrat,Democrat,8,2,7,5,1,1,0,3,4,1
I have absolutely no interest in holding elective office at any time in the future.,1.200000047683716,2.5,2,2.400000095367432,2.799999952316284,68,Conservative,Conservative,Some College,White,2,Female,Lean-Democrat,Independent,7,4,7,7,7,8,5,7,6,7
I have absolutely no interest in holding elective office at any time in the future.,1,2.75,.5714285373687744,.4000000953674316,2.400000095367432,58,Moderate,Moderate,Some College,White,3,Male,Lean Republican,Independent,0,0,0,0,1,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,.5999999046325684,0,.2857143878936768,.5999999046325684,2.200000047683716,56,Moderate,Moderate,Some College,White,1,Female,Strong Democrat,Democrat,7,0,0,7,5,0,2,6,6,7
,,,,,,,,,,,,,,,,,,,,,,,,
I have absolutely no interest in holding elective office at any time in the future.,1.799999952316284,2.75,1,2.599999904632568,1.599999904632568,59,Somewhat Liberal,Liberal,Some College,White,5,Female,Democrat,Democrat,6,10,10,10,10,7,8,8,5,10
I have absolutely no interest in holding elective office at any time in the future.,1.200000047683716,3,2.428571462631226,2.799999952316284,2.200000047683716,75,Moderate,Moderate,Graduate Degree,White,2,Male,Independent,Independent,10,7,6,7,10,9,5,10,7,10
I have absolutely no interest in holding elective office at any time in the future.,2.400000095367432,.75,1.714285612106323,2.400000095367432,3,41,Conservative,Conservative,High School,White,2,Female,Independent,Independent,5,5,5,5,5,5,5,5,5,5
I have absolutely no interest in holding elective office at any time in the future.,2.599999904632568,2.25,2.285714149475098,2.599999904632568,3,65,Conservative,Conservative,Some College,White,2,Male,Strong Republican,Republican,8,7,6,6,6,8,6,7,6,7
I have absolutely no interest in holding elective office at any time in the future.,1.799999952316284,2,2.428571462631226,1.799999952316284,2.599999904632568,47,Somewhat Conservative,Conservative,Some College,White,3,Female,Lean Republican,Independent,7,2,7,6,8,7,2,10,7,4
I have absolutely no interest in holding elective office at any time in the future.,.4000000953674316,2.25,1.285714387893677,2.200000047683716,2.400000095367432,69,Moderate,Moderate,High School,Asian,2,Female,Independent,Independent,0,0,0,0,5,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,1.799999952316284,2.5,2,2.200000047683716,1.599999904632568,65,Moderate,Moderate,High School,White,4,Female,Strong Democrat,Democrat,5,10,6,9,7,7,6,5,10,5
I have absolutely no interest in holding elective office at any time in the future.,2.599999904632568,2.75,2.714285850524902,2.400000095367432,2.200000047683716,63,Very Conservative,Conservative,Some College,Multi-Racial,3,Male,Independent,Independent,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,2,.75,2.571428537368774,2.799999952316284,2.799999952316284,27,Moderate,Moderate,High School,Multi-Racial,2,Male,Independent,Independent,8,5,0,0,8,0,0,8,0,9
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,2.25,2,2.400000095367432,2.599999904632568,80,Somewhat Liberal,Liberal,Some College,Black,4,Female,Strong Democrat,Democrat,5,3,2,7,8,7,5,8,5,8
I have absolutely no interest in holding elective office at any time in the future.,3,1,2.428571462631226,3,2.400000095367432,60,Conservative,Conservative,Graduate Degree,White,6,Male,Strong Republican,Republican,7,5,4,5,7,8,7,8,8,5
I have absolutely no interest in holding elective office at any time in the future.,3,3,2.428571462631226,2.799999952316284,3,87,Moderate,Moderate,High School,White,3,Female,Democrat,Democrat,1,1,6,9,10,8,10,1,1,1
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,1.5,2.142857074737549,2.200000047683716,2.599999904632568,84,Somewhat Liberal,Liberal,Bachelors Degree,White,2,Female,Independent,Independent,9,1,1,1,7,6,1,8,3,8
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,1.25,2.285714149475098,2.400000095367432,2.400000095367432,69,Moderate,Moderate,Some College,White,2,Female,Independent,Independent,3,3,3,3,3,3,3,3,3,3
I have absolutely no interest in holding elective office at any time in the future.,.7999999523162842,2,1.428571462631226,1.799999952316284,1.400000095367432,67,Conservative,Conservative,Some College,White,8,Male,Strong Republican,Republican,8,0,2,5,8,8,5,7,6,6
I have absolutely no interest in holding elective office at any time in the future.,2,1,2.285714149475098,2.799999952316284,2.799999952316284,51,Moderate,Moderate,Graduate Degree,White,5,Male,Democrat,Democrat,9,3,3,4,9,10,7,7,6,8
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,1.5,1.428571462631226,1.200000047683716,2.400000095367432,71,Conservative,Conservative,Bachelors Degree,Asian,4,Female,Strong Republican,Republican,8,4,1,8,8,4,5,8,8,8
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,1.5,2,2.200000047683716,2.799999952316284,59,Moderate,Moderate,High School,White,2,Female,Independent,Independent,3,1,1,2,2,1,1,1,1,2
I have absolutely no interest in holding elective office at any time in the future.,2.400000095367432,2,1.428571462631226,2.799999952316284,2.200000047683716,58,Moderate,Moderate,Bachelors Degree,White,3,Male,Lean-Democrat,Independent,5,4,2,5,3,3,3,6,5,4
I am open to the possibility of holding elective office in the future.,1.200000047683716,1.5,1.857142925262451,2.400000095367432,2.200000047683716,58,Moderate,Moderate,Some College,White,2,Female,Democrat,Democrat,5,0,0,4,8,9,3,7,7,4
I have absolutely no interest in holding elective office at any time in the future.,3,2.5,2.857142925262451,3,3,73,Somewhat Conservative,Conservative,High School,White,2,Male,Lean Republican,Independent,8,5,5,8,9,8,5,8,9,8
I have absolutely no interest in holding elective office at any time in the future.,2.400000095367432,2.25,2.857142925262451,2.799999952316284,2.599999904632568,35,Liberal,Liberal,Bachelors Degree,White,5,Female,Strong Democrat,Democrat,5,4,5,5,8,5,6,7,8,9
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,1.25,1.714285612106323,2.599999904632568,2,62,Moderate,Moderate,Some College,White,2,Male,Democrat,Democrat,6,5,3,3,5,5,3,8,4,3
I have absolutely no interest in holding elective office at any time in the future.,2.799999952316284,1.5,2.857142925262451,2.799999952316284,2.799999952316284,52,Somewhat Liberal,Liberal,Bachelors Degree,White,5,Male,Lean-Democrat,Independent,2,0,0,1,1,6,0,5,0,1
I have absolutely no interest in holding elective office at any time in the future.,2.599999904632568,1.25,3,2.599999904632568,3,72,Moderate,Moderate,Bachelors Degree,Black,2,Male,Democrat,Democrat,7,3,7,7,8,8,3,8,7,3
I am open to the possibility of holding elective office in the future.,2,2.75,2.571428537368774,3,2,51,Liberal,Liberal,Bachelors Degree,White,6,Male,Strong Democrat,Democrat,10,2,3,1,5,7,5,8,6,6
I am open to the possibility of holding elective office in the future.,2.200000047683716,1.5,2,2.200000047683716,2.400000095367432,45,Somewhat Conservative,Conservative,Bachelors Degree,White,4,Female,Independent,Independent,7,7,6,7,7,8,5,5,5,6
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,3,1.285714387893677,2.200000047683716,2,64,Conservative,Conservative,Bachelors Degree,Multi-Racial,4,Male,Independent,Independent,8,0,0,0,7,0,0,8,5,8
I have absolutely no interest in holding elective office at any time in the future.,2.599999904632568,.5,2.428571462631226,2.200000047683716,2.599999904632568,58,Very Conservative,Conservative,Bachelors Degree,White,1,Female,Strong Republican,Republican,0,0,0,0,6,8,0,3,2,1
I have absolutely no interest in holding elective office at any time in the future.,1.200000047683716,.5,1.857142925262451,1.799999952316284,1.799999952316284,77,Moderate,Moderate,Some College,White,2,Male,Republican,Republican,5,5,5,5,5,5,5,5,5,5
I have absolutely no interest in holding elective office at any time in the future.,1.799999952316284,2.5,1.571428537368774,3,3,64,Very Conservative,Conservative,High School,White,2,Female,Republican,Republican,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,.75,2.285714149475098,2,2.200000047683716,52,Moderate,Moderate,High School,White,1,Male,Democrat,Democrat,7,6,6,4,8,7,6,7,7,7
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,1.75,2,2,2.400000095367432,62,Somewhat Liberal,Liberal,Bachelors Degree,White,3,Female,Democrat,Democrat,6,2,1,3,5,6,6,7,7,3
I have absolutely no interest in holding elective office at any time in the future.,2,2,1.571428537368774,2.200000047683716,2,53,Conservative,Conservative,Bachelors Degree,White,7,Female,Strong Republican,Republican,1,1,1,1,1,1,1,1,1,1
I have absolutely no interest in holding elective office at any time in the future.,1.200000047683716,2.5,1.714285612106323,2,2,59,Moderate,Moderate,High School,White,2,Male,Democrat,Democrat,10,0,0,3,5,0,0,7,0,5
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,1.25,2.428571462631226,3,2.400000095367432,55,Somewhat Conservative,Conservative,Some College,White,1,Female,Lean-Democrat,Independent,10,0,8,8,8,0,2,5,5,0
I have absolutely no interest in holding elective office at any time in the future.,2.400000095367432,2.25,2.428571462631226,2.400000095367432,1.799999952316284,44,Moderate,Moderate,Bachelors Degree,White,3,Male,Lean-Democrat,Independent,0,1,7,4,6,7,7,8,1,0
I have absolutely no interest in holding elective office at any time in the future.,2.799999952316284,.25,2.714285850524902,2.599999904632568,3,67,Conservative,Conservative,Some College,White,2,Female,Strong Republican,Republican,9,1,6,6,9,10,8,6,10,7
I have absolutely no interest in holding elective office at any time in the future.,2,1.25,2,1.799999952316284,2,53,Conservative,Conservative,Bachelors Degree,White,4,Male,Lean Republican,Independent,6,6,6,6,6,6,6,6,6,6
I am open to the possibility of holding elective office in the future.,3,1.75,2.428571462631226,2.200000047683716,2.799999952316284,57,Very Liberal,Liberal,Some College,White,5,Male,Strong Democrat,Democrat,10,6,6,5,10,9,6,8,9,10
,,,,,,,,,,,,,,,,,,,,,,,,
I am open to the possibility of holding elective office in the future.,1.200000047683716,1.75,1.285714387893677,2,2.400000095367432,33,Somewhat Conservative,Conservative,Bachelors Degree,White,4,Male,Republican,Republican,6,6,6,7,8,6,5,7,6,6
I have absolutely no interest in holding elective office at any time in the future.,2.799999952316284,2.75,2.857142925262451,3,2.799999952316284,68,Very Conservative,Conservative,High School,White,5,Male,Lean Republican,Independent,10,5,0,0,0,10,10,10,10,10
I have absolutely no interest in holding elective office at any time in the future.,3,1.25,2.857142925262451,2.599999904632568,3,55,Very Liberal,Liberal,Graduate Degree,White,5,Female,Strong Democrat,Democrat,5,5,5,5,5,5,5,5,5,5
I have absolutely no interest in holding elective office at any time in the future.,2,.25,1.857142925262451,1.799999952316284,2,61,Very Conservative,Conservative,Bachelors Degree,White,4,Male,Strong Republican,Republican,8,0,0,8,7,8,7,9,5,10
I have absolutely no interest in holding elective office at any time in the future.,2,1.25,2,1.799999952316284,2,31,Liberal,Liberal,Bachelors Degree,White,3,Male,Democrat,Democrat,5,5,5,5,5,5,5,5,5,5
I have absolutely no interest in holding elective office at any time in the future.,.4000000953674316,3,1.857142925262451,2,2,82,Somewhat Liberal,Liberal,Some College,White,2,Female,Lean-Democrat,Independent,6,0,2,1,3,2,1,6,3,3
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,1.25,1.857142925262451,2,2.200000047683716,52,Conservative,Conservative,Bachelors Degree,White,3,Male,Independent,Independent,8,2,5,2,5,5,5,10,5,10
I have absolutely no interest in holding elective office at any time in the future.,1.799999952316284,1.25,1.857142925262451,2.200000047683716,2.799999952316284,58,Moderate,Moderate,High School,White,1,Male,Democrat,Democrat,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
I am open to the possibility of holding elective office in the future.,2,1.75,1.285714387893677,1.599999904632568,2.200000047683716,63,Very Conservative,Conservative,Bachelors Degree,White,9,Male,Strong Republican,Republican,4,4,5,5,10,7,6,2,5,1
I have absolutely no interest in holding elective office at any time in the future.,2.599999904632568,2.5,1.714285612106323,3,2.400000095367432,47,Conservative,Conservative,Some College,Black,3,Female,Lean-Democrat,Independent,8,1,5,6,2,7,1,5,5,10
I have absolutely no interest in holding elective office at any time in the future.,.7999999523162842,3,1.428571462631226,2.400000095367432,2,59,Liberal,Liberal,Some College,White,1,Female,Democrat,Democrat,7,7,1,3,6,7,1,8,7,7
I am open to the possibility of holding elective office in the future.,1.599999904632568,2,2,3,3,68,Somewhat Conservative,Conservative,Bachelors Degree,White,3,Male,Lean Republican,Independent,8,0,0,0,3,0,1,8,0,8
I have absolutely no interest in holding elective office at any time in the future.,1,1.5,2,1.400000095367432,1.599999904632568,75,Somewhat Conservative,Conservative,Graduate Degree,White,5,Male,Lean Republican,Independent,3,1,8,1,3,1,1,3,1,3
I am open to the possibility of holding elective office in the future.,2.400000095367432,.5,2.714285850524902,2.200000047683716,2.400000095367432,39,Moderate,Moderate,Graduate Degree,White,5,Male,Strong Democrat,Democrat,9,8,7,8,7,7,6,7,8,8
I have absolutely no interest in holding elective office at any time in the future.,2.400000095367432,2.75,2.571428537368774,3,3,39,Moderate,Moderate,Some College,Black,1,Female,Democrat,Democrat,10,10,10,10,8,8,10,8,7,10
